"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
dist_lalib_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130201, ASCOPE | 130202, CHICAMA | 130203, CHOCOPE | 130204, MAGDALENA DE CAO | 130205, PAIJAN | 130206, RAZURI | 130207, SANTIAGO DE CAO | 130208, CASA GRANDE",,,,,,"[prov_lalib] = '130200'",y,,,,,
dist_lalib_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130301, BOLIVAR | 130302, BAMBAMARCA | 130303, CONDORMARCA | 130304, LONGOTEA | 130305, UCHUMARCA | 130306, UCUNCHA",,,,,,"[prov_lalib] = '130300'",y,,,,,
dist_lalib_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130401, CHEPEN | 130402, PACANGA | 130403, PUEBLO NUEVO",,,,,,"[prov_lalib] = '130400'",y,,,,,
dist_lalib_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130501, JULCAN | 130502, CALAMARCA | 130503, CARABAMBA | 130504, HUASO",,,,,,"[prov_lalib] = '130500'",y,,,,,
dist_lalib_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130601, OTUZCO | 130602, AGALLPAMPA | 130604, CHARAT | 130605, HUARANCHAL | 130606, LA CUESTA | 130608, MACHE | 130610, PARANDAY | 130611, SALPO | 130613, SINSICAP | 130614, USQUIL",,,,,,"[prov_lalib] = '130600'",y,,,,,
dist_lalib_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130701, SAN PEDRO DE LLOC | 130702, GUADALUPE | 130703, JEQUETEPEQUE | 130704, PACASMAYO | 130705, SAN JOSE",,,,,,"[prov_lalib] = '130700'",y,,,,,
dist_lalib_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130801, TAYABAMBA | 130802, BULDIBUYO | 130803, CHILLIA | 130804, HUANCASPATA | 130805, HUAYLILLAS | 130806, HUAYO | 130807, ONGON | 130808, PARCOY | 130809, PATAZ | 130810, PIAS | 130811, SANTIAGO DE CHALLAS | 130812, TAURIJA | 130813, URPAY",,,,,,"[prov_lalib] = '130800'",y,,,,,
dist_lalib_9,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","130901, HUAMACHUCO | 130902, CHUGAY | 130903, COCHORCO | 130904, CURGOS | 130905, MARCABAL | 130906, SANAGORAN | 130907, SARIN | 130908, SARTIMBAMBA",,,,,,"[prov_lalib] = '130900'",y,,,,,
dist_lalib_10,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","131001, SANTIAGO DE CHUCO | 131002, ANGASMARCA | 131003, CACHICADAN | 131004, MOLLEBAMBA | 131005, MOLLEPATA | 131006, QUIRUVILCA | 131007, SANTA CRUZ DE CHUCA | 131008, SITABAMBA",,,,,,"[prov_lalib] = '131000'",y,,,,,
dist_lalib_11,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","131101, CASCAS | 131102, LUCMA | 131103, MARMOT | 131104, SAYAPULLO",,,,,,"[prov_lalib] = '131100'",y,,,,,
dist_lalib_12,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","131201, VIRU | 131202, CHAO | 131203, GUADALUPITO",,,,,,"[prov_lalib] = '131200'",y,,,,,
prov_lam,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","140100, CHICLAYO | 140200, FERREÑAFE | 140300, LAMBAYEQUE",,,,,,"[dep] = '140000'",y,,,,,
dist_lam_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","140101, CHICLAYO | 140102, CHONGOYAPE | 140103, ETEN | 140104, ETEN PUERTO | 140105, JOSE LEONARDO ORTIZ | 140106, LA VICTORIA | 140107, LAGUNAS | 140108, MONSEFU | 140109, NUEVA ARICA | 140110, OYOTUN | 140111, PICSI | 140112, PIMENTEL | 140113, REQUE | 140114, SANTA ROSA | 140115, SAÑA | 140116, CAYALTI | 140117, PATAPO | 140118, POMALCA | 140119, PUCALA | 140120, TUMAN",,,,,,"[prov_lam] = '140100'",y,,,,,
dist_lam_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","140201, FERREÑAFE | 140202, CAÑARIS | 140203, INCAHUASI | 140204, MANUEL ANTONIO MESONES MURO | 140205, PITIPO | 140206, PUEBLO NUEVO",,,,,,"[prov_lam] = '140200'",y,,,,,
dist_lam_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","140301, LAMBAYEQUE | 140302, CHOCHOPE | 140303, ILLIMO | 140304, JAYANCA | 140305, MOCHUMI | 140306, MORROPE | 140307, MOTUPE | 140308, OLMOS | 140309, PACORA | 140310, SALAS | 140311, SAN JOSE | 140312, TUCUME",,,,,,"[prov_lam] = '140300'",y,,,,,
prov_lima,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","150100, LIMA | 150200, BARRANCA | 150300, CAJATAMBO | 150400, CANTA | 150500, CAÑETE | 150600, HUARAL | 150700, HUAROCHIRI | 150800, HUAURA | 150900, OYON | 151000, YAUYOS",,,,,,"[dep] = '150000'",y,,,,,
dist_lima_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150101, LIMA | 150102, ANCON | 150103, ATE | 150104, BARRANCO | 150105, BREÑA | 150106, CARABAYLLO | 150107, CHACLACAYO | 150108, CHORRILLOS | 150109, CIENEGUILLA | 150110, COMAS | 150111, EL AGUSTINO | 150112, INDEPENDENCIA | 150113, JESUS MARIA | 150114, LA MOLINA | 150115, LA VICTORIA | 150116, LINCE | 150117, LOS OLIVOS | 150118, LURIGANCHO | 150119, LURIN | 150120, MAGDALENA DEL MAR | 150121, PUEBLO LIBRE | 150122, MIRAFLORES | 150123, PACHACAMAC | 150124, PUCUSANA | 150125, PUENTE PIEDRA | 150126, PUNTA HERMOSA | 150127, PUNTA NEGRA | 150128, RIMAC | 150129, SAN BARTOLO | 150130, SAN BORJA | 150131, SAN ISIDRO | 150132, SAN JUAN DE LURIGANCHO | 150133, SAN JUAN DE MIRAFLORES | 150134, SAN LUIS | 150135, SAN MARTIN DE PORRES | 150136, SAN MIGUEL | 150137, SANTA ANITA | 150138, SANTA MARIA DEL MAR | 150139, SANTA ROSA | 150140, SANTIAGO DE SURCO | 150141, SURQUILLO | 150142, VILLA EL SALVADOR | 150143, VILLA MARIA DEL TRIUNFO",,,,,,"[prov_lima] = '150100'",y,,,,,
dist_lima_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150201, BARRANCA | 150202, PARAMONGA | 150203, PATIVILCA | 150204, SUPE | 150205, SUPE PUERTO",,,,,,"[prov_lima] = '150200'",y,,,,,
dist_lima_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150301, CAJATAMBO | 150302, COPA | 150303, GORGOR | 150304, HUANCAPON | 150305, MANAS",,,,,,"[prov_lima] = '150300'",y,,,,,
dist_lima_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150401, CANTA | 150402, ARAHUAY | 150403, HUAMANTANGA | 150404, HUAROS | 150405, LACHAQUI | 150406, SAN BUENAVENTURA | 150407, SANTA ROSA DE QUIVES",,,,,,"[prov_lima] = '150400'",y,,,,,
dist_lima_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150501, SAN VICENTE DE CAÑETE | 150502, ASIA | 150503, CALANGO | 150504, CERRO AZUL | 150505, CHILCA | 150506, COAYLLO | 150507, IMPERIAL | 150508, LUNAHUANA | 150509, MALA | 150510, NUEVO IMPERIAL | 150511, PACARAN | 150512, QUILMANA | 150513, SAN ANTONIO | 150514, SAN LUIS | 150515, SANTA CRUZ DE FLORES | 150516, ZUÑIGA",,,,,,"[prov_lima] = '150500'",y,,,,,
dist_lima_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150601, HUARAL | 150602, ATAVILLOS ALTO | 150603, ATAVILLOS BAJO | 150604, AUCALLAMA | 150605, CHANCAY | 150606, IHUARI | 150607, LAMPIAN | 150608, PACARAOS | 150609, SAN MIGUEL DE ACOS | 150610, SANTA CRUZ DE ANDAMARCA | 150611, SUMBILCA | 150612, VEINTISIETE DE NOVIEMBRE",,,,,,"[prov_lima] = '150600'",y,,,,,
dist_lima_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150701, MATUCANA | 150702, ANTIOQUIA | 150703, CALLAHUANCA | 150704, CARAMPOMA | 150705, CHICLA | 150706, CUENCA | 150707, HUACHUPAMPA | 150708, HUANZA | 150709, HUAROCHIRI | 150710, LAHUAYTAMBO | 150711, LANGA | 150712, LARAOS | 150713, MARIATANA | 150714, RICARDO PALMA | 150715, SAN ANDRES DE TUPICOCHA | 150716, SAN ANTONIO | 150717, SAN BARTOLOME | 150718, SAN DAMIAN | 150719, SAN JUAN DE IRIS | 150720, SAN JUAN DE TANTARANCHE | 150721, SAN LORENZO DE QUINTI | 150722, SAN MATEO | 150723, SAN MATEO DE OTAO | 150724, SAN PEDRO DE CASTA | 150725, SAN PEDRO DE HUANCAYRE | 150726, SANGALLAYA | 150727, SANTA CRUZ DE COCACHACRA | 150728, SANTA EULALIA | 150729, SANTIAGO DE ANCHUCAYA | 150730, SANTIAGO DE TUNA | 150731, SANTO DOMINGO DE LOS OLLERO | 150732, SURCO",,,,,,"[prov_lima] = '150700'",y,,,,,
dist_lima_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150801, HUACHO | 150802, AMBAR | 150803, CALETA DE CARQUIN | 150804, CHECRAS | 150805, HUALMAY | 150806, HUAURA | 150807, LEONCIO PRADO | 150808, PACCHO | 150809, SANTA LEONOR | 150810, SANTA MARIA | 150811, SAYAN | 150812, VEGUETA",,,,,,"[prov_lima] = '150800'",y,,,,,
dist_lima_9,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","150901, OYON | 150902, ANDAJES | 150903, CAUJUL | 150904, COCHAMARCA | 150905, NAVAN | 150906, PACHANGARA",,,,,,"[prov_lima] = '150900'",y,,,,,
dist_lima_10,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","151001, YAUYOS | 151002, ALIS | 151003, AYAUCA | 151004, AYAVIRI | 151005, AZANGARO | 151006, CACRA | 151007, CARANIA | 151008, CATAHUASI | 151009, CHOCOS | 151010, COCHAS | 151011, COLONIA | 151012, HONGOS | 151013, HUAMPARA | 151014, HUANCAYA | 151015, HUANGASCAR | 151016, HUANTAN | 151017, HUAÑEC | 151018, LARAOS | 151019, LINCHA | 151020, MADEAN | 151021, MIRAFLORES | 151022, OMAS | 151023, PUTINZA | 151024, QUINCHES | 151025, QUINOCAY | 151026, SAN JOAQUIN | 151027, SAN PEDRO DE PILAS | 151028, TANTA | 151029, TAURIPAMPA | 151030, TOMAS | 151031, TUPE | 151032, VIÑAC | 151033, VITIS",,,,,,"[prov_lima] = '151000'",y,,,,,
prov_lor,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","160100, MAYNAS | 160200, ALTO AMAZONAS | 160300, LORETO | 160400, MARISCAL RAMON CASTILLA | 160500, REQUENA | 160600, UCAYALI | 160700, DATEM DEL MARAÑON | 160800, PUTUMAYO",,,,,,"[dep] = '160000'",y,,,,,
dist_lor_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160101, IQUITOS | 160102, ALTO NANAY | 160103, FERNANDO LORES | 160104, INDIANA | 160105, LAS AMAZONAS | 160106, MAZAN | 160107, NAPO | 160108, PUNCHANA | 160110, TORRES CAUSANA | 160112, BELEN | 160113, SAN JUAN BAUTISTA",,,,,,"[prov_lor] = '160100'",y,,,,,
dist_lor_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160201, YURIMAGUAS | 160202, BALSAPUERTO | 160205, JEBEROS | 160206, LAGUNAS | 160210, SANTA CRUZ | 160211, TENIENTE CESAR LOPEZ ROJAS",,,,,,"[prov_lor] = '160200'",y,,,,,
dist_lor_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160301, NAUTA | 160302, PARINARI | 160303, TIGRE | 160304, TROMPETEROS | 160305, URARINAS",,,,,,"[prov_lor] = '160300'",y,,,,,
dist_lor_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160401, RAMON CASTILLA | 160402, PEBAS | 160403, YAVARI | 160404, SAN PABLO",,,,,,"[prov_lor] = '160400'",y,,,,,
dist_lor_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160501, REQUENA | 160502, ALTO TAPICHE | 160503, CAPELO | 160504, EMILIO SAN MARTIN | 160505, MAQUIA | 160506, PUINAHUA | 160507, SAQUENA | 160508, SOPLIN | 160509, TAPICHE | 160510, JENARO HERRERA | 160511, YAQUERANA",,,,,,"[prov_lor] = '160500'",y,,,,,
dist_lor_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160601, CONTAMANA | 160602, INAHUAYA | 160603, PADRE MARQUEZ | 160604, PAMPA HERMOSA | 160605, SARAYACU | 160606, VARGAS GUERRA",,,,,,"[prov_lor] = '160600'",y,,,,,
dist_lor_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160701, BARRANCA | 160702, CAHUAPANAS | 160703, MANSERICHE | 160704, MORONA | 160705, PASTAZA | 160706, ANDOAS",,,,,,"[prov_lor] = '160700'",y,,,,,
dist_lor_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","160801, PUTUMAYO | 160802, ROSA PANDURO | 160803, TENIENTE MANUEL CLAVERO | 160804, YAGUAS",,,,,,"[prov_lor] = '160800'",y,,,,,
prov_madios,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","170100, TAMBOPATA | 170200, MANU | 170300, TAHUAMANU",,,,,,"[dep] = '170000'",y,,,,,
dist_madios_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","170101, TAMBOPATA | 170102, INAMBARI | 170103, LAS PIEDRAS | 170104, LABERINTO",,,,,,"[prov_madios] = '170100'",y,,,,,
dist_madios_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","170201, MANU | 170202, FITZCARRALD | 170203, MADRE DE DIOS | 170204, HUEPETUHE",,,,,,"[prov_madios] = '170200'",y,,,,,
dist_madios_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","170301, IÑAPARI | 170302, IBERIA | 170303, TAHUAMANU",,,,,,"[prov_madios] = '170300'",y,,,,,
prov_moq,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","180100, MARISCAL NIETO | 180200, GENERAL SANCHEZ CERRO | 180300, ILO",,,,,,"[dep] = '180000'",y,,,,,
dist_moq_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","180101, MOQUEGUA | 180102, CARUMAS | 180103, CUCHUMBAYA | 180104, SAMEGUA | 180105, SAN CRISTOBAL | 180106, TORATA",,,,,,"[prov_moq] = '180100'",y,,,,,
dist_moq_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","180201, OMATE | 180202, CHOJATA | 180203, COALAQUE | 180204, ICHUÑA | 180205, LA CAPILLA | 180206, LLOQUE | 180207, MATALAQUE | 180208, PUQUINA | 180209, QUINISTAQUILLAS | 180210, UBINAS | 180211, YUNGA",,,,,,"[prov_moq] = '180200'",y,,,,,
dist_moq_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","180301, ILO | 180302, EL ALGARROBAL | 180303, PACOCHA",,,,,,"[prov_moq] = '180300'",y,,,,,
prov_pasc,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","190100, PASCO | 190200, DANIEL ALCIDES CARRION | 190300, OXAPAMPA",,,,,,"[dep] = '190000'",y,,,,,
dist_pasc_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","190101, CHAUPIMARCA | 190102, HUACHON | 190103, HUARIACA | 190104, HUAYLLAY | 190105, NINACACA | 190106, PALLANCHACRA | 190107, PAUCARTAMBO | 190108, SAN FCO.DE ASIS DE YARUSYAC | 190109, SIMON BOLIVAR | 190110, TICLACAYAN | 190111, TINYAHUARCO | 190112, VICCO | 190113, YANACANCHA",,,,,,"[prov_pasc] = '190100'",y,,,,,
dist_pasc_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","190201, YANAHUANCA | 190202, CHACAYAN | 190203, GOYLLARISQUIZGA | 190204, PAUCAR | 190205, SAN PEDRO DE PILLAO | 190206, SANTA ANA DE TUSI | 190207, TAPUC | 190208, VILCABAMBA",,,,,,"[prov_pasc] = '190200'",y,,,,,
dist_pasc_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","190301, OXAPAMPA | 190302, CHONTABAMBA | 190303, HUANCABAMBA | 190304, PALCAZU | 190305, POZUZO | 190306, PUERTO BERMUDEZ | 190307, VILLA RICA | 190308, CONSTITUCIÓN",,,,,,"[prov_pasc] = '190300'",y,,,,,
prov_piu,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","200100, PIURA | 200200, AYABACA | 200300, HUANCABAMBA | 200400, MORROPON | 200500, PAITA | 200600, SULLANA | 200700, TALARA | 200800, SECHURA",,,,,,"[dep] = '200000'",y,,,,,
dist_piu_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200101, PIURA | 200104, CASTILLA | 200105, CATACAOS | 200107, CURA MORI | 200108, EL TALLAN | 200109, LA ARENA | 200110, LA UNION | 200111, LAS LOMAS | 200114, TAMBO GRANDE | 200115, VEINTISÉIS DE OCTUBRE",,,,,,"[prov_piu] = '200100'",y,,,,,
dist_piu_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200201, AYABACA | 200202, FRIAS | 200203, JILILI | 200204, LAGUNAS | 200205, MONTERO | 200206, PACAIPAMPA | 200207, PAIMAS | 200208, SAPILLICA | 200209, SICCHEZ | 200210, SUYO",,,,,,"[prov_piu] = '200200'",y,,,,,
dist_piu_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200301, HUANCABAMBA | 200302, CANCHAQUE | 200303, EL CARMEN DE LA FRONTERA | 200304, HUARMACA | 200305, LALAQUIZ | 200306, SAN MIGUEL DE EL FAIQUE | 200307, SONDOR | 200308, SONDORILLO",,,,,,"[prov_piu] = '200300'",y,,,,,
dist_piu_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200401, CHULUCANAS | 200402, BUENOS AIRES | 200403, CHALACO | 200404, LA MATANZA | 200405, MORROPON | 200406, SALITRAL | 200407, SAN JUAN DE BIGOTE | 200408, SANTA CATALINA DE MOSSA | 200409, SANTO DOMINGO | 200410, YAMANGO",,,,,,"[prov_piu] = '200400'",y,,,,,
dist_piu_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200501, PAITA | 200502, AMOTAPE | 200503, ARENAL | 200504, COLAN | 200505, LA HUACA | 200506, TAMARINDO | 200507, VICHAYAL",,,,,,"[prov_piu] = '200500'",y,,,,,
dist_piu_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200601, SULLANA | 200602, BELLAVISTA | 200603, IGNACIO ESCUDERO | 200604, LANCONES | 200605, MARCAVELICA | 200606, MIGUEL CHECA | 200607, QUERECOTILLO | 200608, SALITRAL",,,,,,"[prov_piu] = '200600'",y,,,,,
dist_piu_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200701, PARIÑAS | 200702, EL ALTO | 200703, LA BREA | 200704, LOBITOS | 200705, LOS ORGANOS | 200706, MANCORA",,,,,,"[prov_piu] = '200700'",y,,,,,
dist_piu_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","200801, SECHURA | 200802, BELLAVISTA DE LA UNION | 200803, BERNAL | 200804, CRISTO NOS VALGA | 200805, VICE | 200806, RINCONADA LLICUAR",,,,,,"[prov_piu] = '200800'",y,,,,,
prov_pun,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","210100, PUNO | 210200, AZANGARO | 210300, CARABAYA | 210400, CHUCUITO | 210500, EL COLLAO | 210600, HUANCANE | 210700, LAMPA | 210800, MELGAR | 210900, MOHO | 211000, SAN ANTONIO DE PUTINA | 211100, SAN ROMAN | 211200, SANDIA | 211300, YUNGUYO",,,,,,"[dep] = '210000'",y,,,,,
dist_pun_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210101, PUNO | 210102, ACORA | 210103, AMANTANI | 210104, ATUNCOLLA | 210105, CAPACHICA | 210106, CHUCUITO | 210107, COATA | 210108, HUATA | 210109, MAÑAZO | 210110, PAUCARCOLLA | 210111, PICHACANI | 210112, PLATERIA | 210113, SAN ANTONIO | 210114, TIQUILLACA | 210115, VILQUE",,,,,,"[prov_pun] = '210100'",y,,,,,
dist_pun_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210201, AZANGARO | 210202, ACHAYA | 210203, ARAPA | 210204, ASILLO | 210205, CAMINACA | 210206, CHUPA | 210207, JOSE DOMINGO CHOQUEHUANCA | 210208, MUÑANI | 210209, POTONI | 210210, SAMAN | 210211, SAN ANTON | 210212, SAN JOSE | 210213, SAN JUAN DE SALINAS | 210214, SANTIAGO DE PUPUJA | 210215, TIRAPATA",,,,,,"[prov_pun] = '210200'",y,,,,,
dist_pun_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210301, MACUSANI | 210302, AJOYANI | 210303, AYAPATA | 210304, COASA | 210305, CORANI | 210306, CRUCERO | 210307, ITUATA | 210308, OLLACHEA | 210309, SAN GABAN | 210310, USICAYOS",,,,,,"[prov_pun] = '210300'",y,,,,,
dist_pun_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210401, JULI | 210402, DESAGUADERO | 210403, HUACULLANI | 210404, KELLUYO | 210405, PISACOMA | 210406, POMATA | 210407, ZEPITA",,,,,,"[prov_pun] = '210400'",y,,,,,
dist_pun_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210501, ILAVE | 210502, CAPAZO | 210503, PILCUYO | 210504, SANTA ROSA | 210505, CONDURIRI",,,,,,"[prov_pun] = '210500'",y,,,,,
dist_pun_6,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210601, HUANCANE | 210602, COJATA | 210603, HUATASANI | 210604, INCHUPALLA | 210605, PUSI | 210606, ROSASPATA | 210607, TARACO | 210608, VILQUE CHICO",,,,,,"[prov_pun] = '210600'",y,,,,,
dist_pun_7,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210701, LAMPA | 210702, CABANILLA | 210703, CALAPUJA | 210704, NICASIO | 210705, OCUVIRI | 210706, PALCA | 210707, PARATIA | 210708, PUCARA | 210709, SANTA LUCIA | 210710, VILAVILA",,,,,,"[prov_pun] = '210700'",y,,,,,
dist_pun_8,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210801, AYAVIRI | 210802, ANTAUTA | 210803, CUPI | 210804, LLALLI | 210805, MACARI | 210806, NUÑOA | 210807, ORURILLO | 210808, SANTA ROSA | 210809, UMACHIRI",,,,,,"[prov_pun] = '210800'",y,,,,,
dist_pun_9,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","210901, MOHO | 210902, CONIMA | 210903, HUAYRAPATA | 210904, TILALI",,,,,,"[prov_pun] = '210900'",y,,,,,
dist_pun_10,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","211001, PUTINA | 211002, ANANEA | 211003, PEDRO VILCA APAZA | 211004, QUILCAPUNCU | 211005, SINA",,,,,,"[prov_pun] = '211000'",y,,,,,
dist_pun_11,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","211101, JULIACA | 211102, CABANA | 211103, CABANILLAS | 211104, CARACOTO | 211105, SAN MIGUEL",,,,,,"[prov_pun] = '211100'",y,,,,,
dist_pun_12,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","211201, SANDIA | 211202, CUYOCUYO | 211203, LIMBANI | 211204, PATAMBUCO | 211205, PHARA | 211206, QUIACA | 211207, SAN JUAN DEL ORO | 211208, YANAHUAYA | 211209, ALTO INAMBARI | 211210, SAN PEDRO DE PUTINA PUNCU",,,,,,"[prov_pun] = '211200'",y,,,,,
dist_pun_13,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","211301, YUNGUYO | 211302, ANAPIA | 211303, COPANI | 211304, CUTURAPI | 211305, OLLARAYA | 211306, TINICACHI | 211307, UNICACHI",,,,,,"[prov_pun] = '211300'",y,,,,,
prov_sm,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","220100, MOYOBAMBA | 220200, BELLAVISTA | 220300, EL DORADO | 220400, HUALLAGA | 220500, LAMAS | 220600, MARISCAL CACERES | 220700, PICOTA | 220800, RIOJA | 220900, SAN MARTIN | 221000, TOCACHE",,,,,,"[dep] = '220000'",y,,,,,
dist_sm_1,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","220101, MOYOBAMBA | 220102, CALZADA | 220103, HABANA | 220104, JEPELACIO | 220105, SORITOR | 220106, YANTALO",,,,,,"[prov_sm] = '220100'",y,,,,,
dist_sm_2,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","220201, BELLAVISTA | 220202, ALTO BIAVO | 220203, BAJO BIAVO | 220204, HUALLAGA | 220205, SAN PABLO | 220206, SAN RAFAEL",,,,,,"[prov_sm] = '220200'",y,,,,,
dist_sm_3,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","220301, SAN JOSE DE SISA | 220302, AGUA BLANCA | 220303, SAN MARTIN | 220304, SANTA ROSA | 220305, SHATOJA",,,,,,"[prov_sm] = '220300'",y,,,,,
dist_sm_4,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","220401, SAPOSOA | 220402, ALTO SAPOSOA | 220403, EL ESLABON | 220404, PISCOYACU | 220405, SACANCHE | 220406, TINGO DE SAPOSOA",,,,,,"[prov_sm] = '220400'",y,,,,,
dist_sm_5,segundo_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","220501, LAMAS | 220502, ALONSO DE ALVARADO | 220503, BARRANQUITA | 220504, CAYNARACHI | 220505, CUÑUMBUQUI | 220506, PINTO RECODO | 220507, RUMISAPA | 220508, SAN ROQUE DE CUMBAZA | 220509, SHANAO | 220510, TABALOSOS | 220511, ZAPATERO",,,,,,"[prov_sm] = '220500'",y,,,,,
